club_name,name,age,position,club_involved,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Arsenal FC,Thomas Partey,27,Defensive Midfield,Atletico Madrid,£45.00m,in,Summer,45,Premier League,2020,2020/2021
Arsenal FC,Gabriel,22,Centre-Back,LOSC Lille,£23.40m,in,Summer,23.4,Premier League,2020,2020/2021
Arsenal FC,Pablo Mari≠,26,Centre-Back,Flamengo,£3.60m,in,Summer,3.6,Premier League,2020,2020/2021
Arsenal FC,Ruenar Alex R˙narsson,25,Goalkeeper,Dijon,£1.80m,in,Summer,1.8,Premier League,2020,2020/2021
Arsenal FC,Cedric Soares,28,Right-Back,Southampton,free transfer,in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Willian,32,Right Winger,Chelsea,free transfer,in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Joe Willock,21,Central Midfield,Newcastle,"End of loanMay 31, 2021",in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Emile Smith Rowe,20,Central Midfield,Arsenal U23,-,in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,William Saliba,19,Centre-Back,Saint-√âtienne,"End of loanJun 30, 2020",in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Mohamed Elneny,28,Defensive Midfield,Besiktas,"End of loanAug 3, 2020",in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Henrikh Mkhitaryan,31,Attacking Midfield,AS Roma,"End of loanAug 31, 2020",in,Summer,0,Premier League,2020,2020/2021
Arsenal FC,Dejan Iliev,25,Goalkeeper,Jagiellonia,"End of loanJul 31, 2020",in,Summer,0,Premier League,2020,2020/2021
Aston Villa,Ollie Watkins,24,Centre-Forward,Brentford,£27.72m,in,Summer,27.72,Premier League,2020,2020/2021
Aston Villa,Bertrand Traore,25,Right Winger,Olympique Lyon,£16.56m,in,Summer,16.56,Premier League,2020,2020/2021
Aston Villa,Emiliano Marti≠nez,28,Goalkeeper,Arsenal,£15.66m,in,Summer,15.66,Premier League,2020,2020/2021
Aston Villa,Matty Cash,23,Right-Back,Nottm Forest,£14.18m,in,Summer,14.18,Premier League,2020,2020/2021
Aston Villa,Ross Barkley,26,Central Midfield,Chelsea,loan transfer,in,Summer,0,Premier League,2020,2020/2021
Aston Villa,Conor Hourihane,30,Central Midfield,Swansea,"End of loanMay 31, 2021",in,Summer,0,Premier League,2020,2020/2021
Aston Villa,Jacob Ramsey,19,Attacking Midfield,Aston Villa U23,-,in,Summer,0,Premier League,2020,2020/2021
Aston Villa,James Bree,22,Right-Back,Luton,"End of loanJul 23, 2020",in,Summer,0,Premier League,2020,2020/2021
Aston Villa,Lovre Kalinic,30,Goalkeeper,Toulouse,"End of loanJun 30, 2020",in,Summer,0,Premier League,2020,2020/2021
